links,account,accountingbook,accountingperiod,activitydate,amount,customtype,entity,location,subsidiary,transactiontype,item,quantity,salesrep,department
[],52,1,42,4/30/2021,13651.54,-1,,,11,Journal,,,,
[],52,1,43,5/1/2021,-13651.54,-1,,,11,Journal,,,,
[],52,1,50,10/31/2021,189272.64,-1,,,13,Journal,,,,
[],52,1,46,7/31/2021,13651.54,-1,,,11,Journal,,,,
[],52,1,47,8/1/2021,-13651.54,-1,,,11,Journal,,,,
[],52,1,51,11/1/2021,-189272.64,-1,,,13,Journal,,,,
[],52,1,25,5/31/2022,52239.93,-1,,,11,Journal,,,,
[],52,1,20,1/1/2022,-434405.19,-1,,,13,Journal,,,,
[],52,1,46,7/31/2021,-2717646.06,-1,,,12,Journal,,,,
[],52,1,47,8/1/2021,2717646.06,-1,,,12,Journal,,,,
[],52,1,51,11/30/2021,-2717646.06,-1,,,12,Journal,,,,
[],52,1,52,12/1/2021,2717646.06,-1,,,12,Journal,,,,
[],52,1,24,4/30/2022,106577.46,-1,,,19,Journal,,,,
[],52,1,25,5/1/2022,-106577.46,-1,,,19,Journal,,,,
[],52,1,38,1/31/2021,-2717646.06,-1,,,12,Journal,,,,
[],52,1,39,2/1/2021,2717646.06,-1,,,12,Journal,,,,
[],52,1,43,5/31/2021,13651.54,-1,,,11,Journal,,,,
[],52,1,44,6/1/2021,-13651.54,-1,,,11,Journal,,,,
[],52,1,22,3/1/2022,-60514,-1,,,22,Journal,,,,
[],52,1,22,3/31/2022,60514,-1,,,22,Journal,,,,
[],52,1,21,2/28/2022,60514,-1,,,22,Journal,,,,
[],52,1,20,1/31/2022,60514,-1,,,22,Journal,,,,
[],52,1,21,2/1/2022,-60514,-1,,,22,Journal,,,,
[],52,1,20,1/1/2022,174265.68,-1,,,4,Journal,,,,
[],52,1,39,2/28/2021,1974.1,-1,,,25,Journal,,,,
[],52,1,40,3/1/2021,-1974.1,-1,,,25,Journal,,,,
[],52,1,40,3/31/2021,1974.1,-1,,,25,Journal,,,,
[],52,1,42,4/1/2021,-1974.1,-1,,,25,Journal,,,,
[],52,1,44,6/30/2021,1974.1,-1,,,25,Journal,,,,
[],52,1,46,7/31/2021,1974.1,-1,,,25,Journal,,,,
[],52,1,47,8/1/2021,-1974.1,-1,,,25,Journal,,,,
[],52,1,47,8/31/2021,1974.1,-1,,,25,Journal,,,,
[],52,1,48,9/30/2021,1974.1,-1,,,25,Journal,,,,
[],52,1,50,10/1/2021,-1974.1,-1,,,25,Journal,,,,
[],52,1,50,10/31/2021,1974.1,-1,,,25,Journal,,,,
[],52,1,51,11/1/2021,-1974.1,-1,,,25,Journal,,,,
[],52,1,52,12/31/2021,1974.1,-1,,,25,Journal,,,,
[],52,1,38,1/1/2022,0,-1,,,25,Journal,,,,
[],52,1,43,5/31/2021,1974.1,-1,,,25,Journal,,,,
[],52,1,38,1/31/2021,36034.58,-1,,,24,Journal,,,,
[],52,1,38,1/31/2021,1974.1,-1,,,25,Journal,,,,
[],52,1,39,2/1/2021,-1974.1,-1,,,25,Journal,,,,
[],52,1,44,6/1/2021,-1974.1,-1,,,25,Journal,,,,
[],52,1,46,7/1/2021,-1974.1,-1,,,25,Journal,,,,
[],52,1,20,1/31/2022,2197.96,-1,,,25,Journal,,,,
