links,account,accountingbook,accountingperiod,amount,department,iscustomglline,subsidiary
[],52,1,52,1739149.28,-1,F,18
[],52,1,52,86315.85,-1,F,21
[],52,1,52,-16483.62,-1,F,23
[],52,1,52,0,-1,F,25
[],52,1,52,13201.5,-1,F,27
[],52,1,56,0,-1,F,27
[],52,1,57,-2600,-1,F,27
[],52,1,62,0,-1,F,13
[],52,1,62,0,-1,F,15
[],52,1,65,0,-1,F,34
[],52,1,65,0,-1,F,47
[],52,1,66,0,-1,F,40
[],52,1,70,-503630,-1,F,36
[],52,1,71,891346.13,-1,F,15
[],52,1,71,40845,-1,F,27
[],52,1,71,503630,-1,F,36
[],52,1,92,0,-1,F,27
[],52,1,102,-47141.67,-1,F,36
[],52,1,102,-1075306.28,-1,F,40
[],53,1,34,0,-1,F,40
[],53,1,56,160034.96,-1,F,40
[],53,1,61,0,-1,F,40
[],53,1,70,-19486.75,-1,F,40
[],54,1,26,0,-1,F,3
[],54,1,26,0,-1,F,4
[],54,1,26,0,-1,F,6
[],54,1,26,0,-1,F,15
[],54,1,26,0,-1,F,16
[],54,1,26,0,-1,F,18
[],54,1,28,0,-1,F,4
[],54,1,28,0,-1,F,6
[],54,1,28,0,-1,F,15
[],54,1,28,0,-1,F,16
[],54,1,28,0,-1,F,18
[],54,1,28,0,-1,F,22
[],54,1,29,0,-1,F,3
[],54,1,29,0,-1,F,4
[],54,1,29,0,-1,F,15
[],54,1,29,0,-1,F,16
[],54,1,29,0,-1,F,18
[],54,1,30,0,-1,F,6
[],54,1,30,0,-1,F,16
[],54,1,32,0,-1,F,16
[],54,1,33,0,-1,F,15
[],54,1,33,0,-1,F,16
[],54,1,56,0,-1,F,15
[],54,1,56,0,-1,F,22
[],54,1,57,0,-1,F,15
[],54,1,58,0,-1,F,15
[],54,1,61,0,-1,F,15
[],54,1,62,0,-1,F,6
[],54,1,62,0,-1,F,15
[],54,1,62,0,-1,F,16
[],54,1,62,0,-1,F,22
