nullFieldList,name,owner,isOrdered,description,isMatrixOption,scriptId,convertToCustomRecord,isInactive,customValueList,translationsList,internalId
,EFT Processing Status,"{""name"": ""Caitlyn Christy"", ""internalId"": ""-5"", ""externalId"": null, ""type"": null}",True,EFT Processing Status,,customlist_2663_process_status,,False,,,153
,Localization Processing Result,"{""name"": ""Caitlyn Christy"", ""internalId"": ""-5"", ""externalId"": null, ""type"": null}",True,This list contains the status of the payment template request.<br><br>Passed – This status indicates that the payment file template request is successful.<br><br>Failed – This status is displayed when the payment file template request has not been generated successfully due to errors encountered while processing.,,customlist_12194_processing_result,,False,,,154
,Approval Level,"{""name"": ""Caitlyn Christy"", ""internalId"": ""-5"", ""externalId"": null, ""type"": null}",True,,,customlist_2663_approval_level,,False,,,155
,EP Process,"{""name"": ""Caitlyn Christy"", ""internalId"": ""-5"", ""externalId"": null, ""type"": null}",True,,,customlist_2663_ep_process,,False,,,156
,EP Output File Encoding,"{""name"": ""Caitlyn Christy"", ""internalId"": ""-5"", ""externalId"": null, ""type"": null}",True,Based on NetSuite's accepted encoding for a file,,customlist_2663_output_file_encoding,,False,,,157
,Entity Bank Detail Type,"{""name"": ""Caitlyn Christy"", ""internalId"": ""-5"", ""externalId"": null, ""type"": null}",True,,,customlist_2663_entity_bank_type,,False,,,158
,Payment Batch Priority,"{""name"": ""Caitlyn Christy"", ""internalId"": ""-5"", ""externalId"": null, ""type"": null}",True,,,customlist_2663_batch_priority,,False,,,159
,Account Type,"{""name"": ""Caitlyn Christy"", ""internalId"": ""-5"", ""externalId"": null, ""type"": null}",True,,,customlist_2663_acct_type,,False,,,160
,Schedule Type,"{""name"": ""Caitlyn Christy"", ""internalId"": ""-5"", ""externalId"": null, ""type"": null}",True,,,customlist_2663_schedule_type,,False,,,161
,Payment Batch Status,"{""name"": ""Caitlyn Christy"", ""internalId"": ""-5"", ""externalId"": null, ""type"": null}",True,,,customlist_2663_batch_status,,False,,,162
,Week of Month,"{""name"": ""Caitlyn Christy"", ""internalId"": ""-5"", ""externalId"": null, ""type"": null}",True,,,customlist_2663_week_of_month,,False,,,163
,Day of Week,"{""name"": ""Caitlyn Christy"", ""internalId"": ""-5"", ""externalId"": null, ""type"": null}",True,,,customlist_2663_day_of_week,,False,,,164
,Direct Debit Type,"{""name"": ""Caitlyn Christy"", ""internalId"": ""-5"", ""externalId"": null, ""type"": null}",True,,,customlist_2663_direct_debit_type,,False,,,165
,Bank Account Type,"{""name"": ""Caitlyn Christy"", ""internalId"": ""-5"", ""externalId"": null, ""type"": null}",True,,,customlist_2663_bank_acct_type,,False,,,166
,Reference Amended Type,"{""name"": ""Caitlyn Christy"", ""internalId"": ""-5"", ""externalId"": null, ""type"": null}",True,,,customlist_2663_reference_amended_type,,False,,,167
,Payment Priority,"{""name"": ""Caitlyn Christy"", ""internalId"": ""-5"", ""externalId"": null, ""type"": null}",True,,,customlist_ep_payment_priority,,False,,,168
,Payment Mode,"{""name"": ""Caitlyn Christy"", ""internalId"": ""-5"", ""externalId"": null, ""type"": null}",True,Used to source the payment mode values i.e. In-transit and Simple.,,customlist_11664_payment_mode,,False,,,169
,Schedule Event Type,"{""name"": ""Caitlyn Christy"", ""internalId"": ""-5"", ""externalId"": null, ""type"": null}",True,,,customlist_2663_schedule_event_type,,False,,,170
,Bank Fee Code,"{""name"": ""Caitlyn Christy"", ""internalId"": ""-5"", ""externalId"": null, ""type"": null}",True,,,customlist_2663_bank_fee_code,,False,,,171
,Approval Type,"{""name"": ""Caitlyn Christy"", ""internalId"": ""-5"", ""externalId"": null, ""type"": null}",True,,,customlist_2663_approval_type,,False,,,172
,Recurrence,"{""name"": ""Caitlyn Christy"", ""internalId"": ""-5"", ""externalId"": null, ""type"": null}",True,,,customlist_2663_recurrence,,False,,,173
,ED Configurable Field List,"{""name"": ""Caitlyn Christy"", ""internalId"": ""-5"", ""externalId"": null, ""type"": null}",True,,,customlist_ed_config_list,,False,,,176
,Subsidiary Types,"{""name"": ""Carolina Sanchez"", ""internalId"": ""6"", ""externalId"": null, ""type"": null}",False,,,customlist177,,False,,,177
,Subsidiary Type,"{""name"": ""Carolina Sanchez"", ""internalId"": ""6"", ""externalId"": null, ""type"": null}",False,,,customlist178,,False,,,178
,Patient MRN Number List,"{""name"": ""Khadine Karamath"", ""internalId"": ""5"", ""externalId"": null, ""type"": null}",True,,,customlist_listmrnnumber_,,False,,,179
